objectid,nombre,direccion,tipozona,parametros,mediciones,so2,no2,o3,co,pm10,pm25,tipoemisio,fecha_carg,calidad_am,fiwareid,geo_shape.type,geo_shape.geometry.coordinates,geo_shape.geometry.type,geo_point_2d.lon,geo_point_2d.lat
15,Molí del Sol,MOLÍ DEL SOL,Suburbana,"Dióxido de azufre (SO2),Monóxido de carbono (CO),Ozono,Óxidos de nitrógeno totales (NOx),Monóxido de nitrógeno (NO),Dióxido de nitrógeno (NO2),Partículas PM10,Partículas PM2.5,Partículas PM1",http://mapas.valencia.es/WebsMunicipales/uploads/atmosferica/3A.csv,3.0,25.0,3.0,0.0,23.0,12.0,Tráfico,2025-10-16T10:00:00+00:00,Razonablemente Buena,A03_MOLISOL_60m,Feature,"[-0.4088098969009376, 39.48111211090413]",Point,-0.4088098969009376,39.48111211090413
21,Olivereta,OLIVERETA,Urbana,"Óxidos de nitrógeno totales (NOx),Monóxido de nitrógeno (NO),Dióxido de nitrógeno (NO2),Partículas PM10,Partículas PM2.5",,,51.0,,,30.0,17.0,Tráfico,2025-10-16T10:00:00+00:00,Razonablemente Buena,A10_OLIVERETA_60m,Feature,"[-0.40592344552906795, 39.46924423509195]",Point,-0.40592344552906795,39.46924423509195
19,Centro,VALÈNCIA CENTRE,Urbana,"Óxidos de nitrógeno totales (NOx),Monóxido de nitrógeno (NO),Dióxido de nitrógeno (NO2),Partículas PM10,Partículas PM2.5",https://mapas.valencia.es/WebsMunicipales/uploads/atmosferica/8A.csv,,34.0,,,26.0,13.0,Tráfico,2025-10-16T10:00:00+00:00,Razonablemente Buena,A07_VALENCIACENTRE_60m,Feature,"[-0.37639765165532396, 39.470547670260125]",Point,-0.37639765165532396,39.470547670260125
12,Dr. Lluch,DR.LLUCH,Urbana,"Óxidos de nitrógeno totales (NOx),Monóxido de nitrógeno (NO),Dióxido de nitrógeno (NO2),Partículas PM10,Partículas PM2.5,Partículas PM1",,,31.0,,,29.0,15.0,Tráfico,2025-10-16T10:00:00+00:00,Razonablemente Buena,A08_DR_LLUCH_60m,Feature,"[-0.3282894894027388, 39.46668475546108]",Point,-0.3282894894027388,39.46668475546108
14,Boulevar Sur,BULEVARD SUD,Urbana,"Dióxido de azufre (SO2),Ozono,Óxidos de nitrógeno totales (NOx),Monóxido de nitrógeno (NO),Dióxido de nitrógeno (NO2),Partículas PM10,Niquel (Ni),Arsénico (As),Plomo (Pb),Benzo(a)pireno (BaP),Cadmio (Cd)",http://mapas.valencia.es/WebsMunicipales/uploads/atmosferica/7A.csv,1.0,29.0,8.0,,,,Tráfico,2025-10-16T10:00:00+00:00,Buena,A02_BULEVARDSUD_60m,Feature,"[-0.3963375643758562, 39.45039600550536]",Point,-0.3963375643758562,39.45039600550536
16,Pista de Silla,PISTA DE SILLA,Urbana,"Dióxido de azufre (SO2),Monóxido de carbono (CO),Ozono,Óxidos de nitrógeno totales (NOx),Monóxido de nitrógeno (NO),Dióxido de nitrógeno (NO2),Benceno (Benc),Tolueno (Tolue),Xileno (Xilen),Partículas PM10,Partículas PM2.5,Nivel de presión sonora (SPL)",http://mapas.valencia.es/WebsMunicipales/uploads/atmosferica/4A.csv,4.0,23.0,10.0,0.0,27.0,15.0,Tráfico,2025-10-16T10:00:00+00:00,Razonablemente Buena,A04_PISTASILLA_60m,Feature,"[-0.37664393657915707, 39.45806095369672]",Point,-0.37664393657915707,39.45806095369672
18,Viveros,VIVERS,Urbana,"Dióxido de azufre (SO2),Óxidos de nitrógeno totales (NOx),Monóxido de nitrógeno (NO),Dióxido de nitrógeno (NO2),Ozono,Partículas PM2.5,Partículas PM10,Niquel (Ni),Arsénico (As),Plomo (Pb),Cadmio (Cd)",http://mapas.valencia.es/WebsMunicipales/uploads/atmosferica/5A.csv,2.0,31.0,13.0,,,,Fondo,2025-10-16T10:00:00+00:00,Buena,A06_VIVERS_60m,Feature,"[-0.36964822314381013, 39.47964092480533]",Point,-0.36964822314381013,39.47964092480533
20,Cabanyal,CABANYAL,Urbana,,,,22.0,,,19.0,11.0,Fondo,2025-10-16T10:00:00+00:00,Razonablemente Buena,A09_CABANYAL_60m,Feature,"[-0.32853481349274394, 39.47439078535677]",Point,-0.32853481349274394,39.47439078535677
22,Patraix,PATRAIX,Urbana,"Óxidos de nitrógeno totales (NOx),Monóxido de nitrógeno (NO),Dióxido de nitrógeno (NO2),Partículas PM10,Partículas PM2.5",,,46.0,,,47.0,17.0,Tráfico,2025-10-16T09:00:00+00:00,Regular,A11_PATRAIX_60m,Feature,"[-0.4014113292191286, 39.45918908999643]",Point,-0.4014113292191286,39.45918908999643
13,Francia,AVDA.FRANCIA,Urbana,"Dióxido de azufre (SO2),Monóxido de carbono (CO),Ozono,Óxidos de nitrógeno totales (NOx),Monóxido de nitrógeno (NO),Dióxido de nitrógeno (NO2),Velocidad de viento (Veloc.), Particulas PM10, Particulas PM2,5",http://mapas.valencia.es/WebsMunicipales/uploads/atmosferica/6A.csv,1.0,32.0,11.0,0.0,25.0,14.0,Tráfico,2025-10-16T10:00:00+00:00,Razonablemente Buena,A01_AVFRANCIA_60m,Feature,"[-0.342986232422652, 39.45782688751831]",Point,-0.342986232422652,39.45782688751831
